Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,24.889999,25.600000,24.750000,25.598000,25.303520,15700
2019-09-09,25.601999,26.280001,25.601999,26.280001,25.977676,5400
2019-09-16,26.059999,26.200001,25.950001,26.040001,25.740437,12400
2019-09-23,25.676001,25.816000,25.400000,25.625000,25.330210,10100
2019-09-30,25.740000,25.770000,24.680000,24.934999,24.648148,11300
2019-10-07,25.110001,26.311001,24.920000,26.100000,25.799747,8400
2019-10-14,26.243000,26.896000,26.200001,26.850000,26.541119,6800
2019-10-21,27.080000,27.200001,26.820000,27.129999,26.817896,6200
2019-10-28,27.260000,27.639999,27.100000,27.639999,27.322031,10200
2019-11-04,27.920000,28.025999,27.521000,27.809999,27.490074,27300
2019-11-11,27.600000,27.862000,27.530001,27.862000,27.541475,9000
2019-11-18,27.730000,27.886000,27.580000,27.655001,27.336859,9700
2019-11-25,27.629999,27.823000,27.629999,27.700001,27.381340,7500
2019-12-02,27.520000,27.799000,27.230000,27.690001,27.371456,6400
2019-12-09,27.680000,28.288000,27.260000,28.219999,27.895357,17800
2019-12-16,28.400000,28.500000,27.812000,27.955000,27.633406,12500
2019-12-23,27.924000,28.299999,27.924000,28.139999,27.816278,183400
2019-12-30,28.040001,28.663000,27.700001,27.990000,27.668003,14900
2020-01-06,27.799999,28.517000,27.799999,28.500000,28.175140,9400
2020-01-13,28.240000,28.570000,28.225000,28.320000,27.997192,34700
2020-01-20,28.480000,28.650000,28.035000,28.309999,27.987307,18600
2020-01-27,27.629999,27.940001,27.100000,27.100000,26.791100,32000
2020-02-03,27.230000,28.389999,27.230000,27.950001,27.631411,5400
2020-02-10,27.820000,28.559999,27.820000,28.264999,27.942820,23700
2020-02-17,28.110001,28.299999,27.839001,27.920000,27.601753,6500
2020-02-24,26.799999,26.868999,24.473000,24.950001,24.665607,42200
2020-03-02,25.090000,25.750000,24.570000,24.815001,24.532145,18800
2020-03-09,22.980000,23.570000,19.260000,20.299999,20.068609,116000
2020-03-16,17.959999,19.129999,17.000000,17.635000,17.433987,215800
2020-03-23,18.090000,21.020000,17.650000,20.500000,20.266329,80600
2020-03-30,20.170000,20.770000,19.400000,19.597000,19.373623,216300
2020-04-06,20.600000,22.318001,20.568001,22.212999,21.959803,118900
2020-04-13,22.450001,22.610001,21.114000,22.163000,21.910374,73500
2020-04-20,21.799999,22.270000,21.114000,21.424000,21.179796,64700
2020-04-27,21.850000,23.180000,21.799999,22.100000,21.848093,128100
2020-05-04,21.889999,22.610001,21.587999,22.568001,22.310759,49000
2020-05-11,22.299999,22.530001,20.736000,21.410000,21.165956,41400
2020-05-18,22.510000,23.410000,22.504999,23.048000,22.785286,25100
2020-05-25,24.080000,24.959999,23.760000,24.627001,24.346289,36100
2020-06-01,24.860001,27.770000,24.834999,27.320000,27.008591,142200
2020-06-08,27.549999,27.799999,25.110001,25.570000,25.278538,213600
2020-06-15,25.280001,26.639000,25.052999,25.865000,25.570177,44900
2020-06-22,26.044001,26.980000,25.540001,25.705000,25.412001,32000
2020-06-29,25.600000,26.704000,25.600000,26.485001,26.183109,25200
2020-07-06,27.110001,27.110001,26.400000,26.865000,26.865000,46600
2020-07-13,27.200001,27.988001,26.718000,27.820000,27.820000,361200
2020-07-20,27.920000,28.600000,27.684999,27.995001,27.995001,257900
